0	0.00E+00	0.00E+00	0.00E+00	0.00E+00
1	0.00E+00	0.00E+00	0.00E+00	0.00E+00
2	2.79E-01	3.57E-01	9.06E-01	9.12E-01
3	1.41E-01	3.11E-01	6.05E-01	8.10E-01
4	2.09E-01	3.80E-01	6.05E-01	9.03E-01
5	1.43E-01	3.95E-01	7.92E-01	7.45E-01
6	2.18E-01	2.18E-01	7.20E-01	8.99E-01
7	1.35E-01	1.56E-01	7.75E-01	3.47E-01
8	1.45E-01	2.21E-01	6.66E-01	4.75E-01
9	2.17E-01	2.55E-01	5.59E-01	5.42E-01
10	9.83E-02	2.72E-01	5.89E-01	5.42E-01
11	1.12E-01	3.17E-01	2.85E-01	2.38E-01
12	1.09E-01	3.01E-01	4.07E-01	2.38E-01
13	1.72E-01	1.20E-01	6.65E-01	2.38E-01
14	2.59E-01	1.47E-01	5.12E-01	2.38E-01
15	1.31E-01	1.74E-01	5.79E-01	2.38E-01
16	1.36E-01	1.66E-01	2.71E-01	2.27E-01
17	1.35E-01	2.25E-01	2.71E-01	2.43E-01
18	1.76E-01	2.95E-01	3.01E-01	1.38E-01
19	9.92E-02	1.93E-01	4.54E-01	1.38E-01
20	4.29E-02	2.07E-01	3.23E-01	1.37E-01
21	8.53E-02	2.40E-01	3.35E-01	1.37E-01
22	1.49E-01	2.51E-01	3.69E-01	1.37E-01
23	1.51E-01	2.90E-01	4.42E-01	1.37E-01
24	3.52E-02	1.94E-01	3.63E-01	1.37E-01
25	6.85E-02	1.94E-01	2.81E-01	1.05E-01
26	4.72E-02	1.16E-01	2.51E-01	1.05E-01
27	5.11E-02	1.91E-01	3.71E-01	1.05E-01
28	1.04E-01	1.09E-01	2.43E-01	1.40E-01
29	8.60E-02	1.56E-01	2.49E-01	1.40E-01
30	5.65E-02	2.09E-01	2.98E-01	1.05E-01
31	7.56E-02	1.55E-01	2.99E-01	1.39E-01
32	1.23E-01	1.62E-01	2.95E-01	1.06E-01
33	2.65E-01	1.04E-01	1.49E-01	1.06E-01
34	2.36E-01	2.01E-01	1.49E-01	1.06E-01
35	2.28E-01	2.50E-01	2.40E-01	1.05E-01
36	1.84E-01	1.79E-01	2.32E-01	9.71E-02
37	2.17E-01	1.10E-01	3.86E-01	1.05E-01
38	2.45E-01	1.96E-01	2.63E-01	1.05E-01
39	2.27E-01	2.16E-01	3.47E-01	7.83E-02
40	2.37E-01	2.00E-01	2.47E-01	7.83E-02
41	2.27E-01	1.86E-01	1.78E-01	1.03E-01
42	2.14E-01	1.64E-01	1.49E-01	1.03E-01
43	2.56E-01	1.55E-01	2.40E-01	7.95E-02
44	1.76E-01	1.51E-01	2.22E-01	7.73E-02
45	2.43E-01	1.29E-01	2.31E-01	7.73E-02
46	2.64E-01	1.34E-01	2.67E-01	1.03E-01
47	2.54E-01	1.29E-01	2.58E-01	7.73E-02
48	2.68E-01	1.63E-01	2.29E-01	7.16E-02
49	2.46E-01	1.83E-01	1.55E-01	7.16E-02
50	2.30E-01	1.67E-01	1.74E-01	7.16E-02
51	2.10E-01	1.23E-01	2.17E-01	6.91E-02
