175	2.10E-11	9.97E-09
176	2.14E-11	9.97E-09
177	2.10E-11	9.97E-09
178	2.10E-11	9.97E-09
179	2.10E-11	9.97E-09
180	2.13E-11	9.97E-09
181	2.10E-11	7.08E-09
182	1.17E-11	7.08E-09
183	1.17E-11	7.08E-09
184	1.17E-11	7.08E-09
185	1.17E-11	7.48E-09
186	1.17E-11	7.48E-09
187	1.17E-11	7.48E-09
188	1.17E-11	7.08E-09
189	1.21E-11	7.08E-09
190	1.17E-11	7.08E-09
191	1.08E-11	8.63E-09
192	1.08E-11	8.63E-09
193	1.08E-11	8.55E-09
194	1.08E-11	8.63E-09
195	1.08E-11	8.55E-09
196	1.17E-11	8.63E-09
197	1.17E-11	8.63E-09
198	1.17E-11	8.63E-09
199	1.17E-11	8.61E-09
200	8.80E-12	8.61E-09
201	1.17E-11	8.61E-09
202	1.17E-11	8.61E-09
203	1.17E-11	8.61E-09
204	1.17E-11	8.61E-09
205	1.17E-11	8.61E-09
206	1.17E-11	8.81E-09
207	1.17E-11	8.81E-09
208	1.17E-11	8.81E-09
209	1.17E-11	1.97E-09
210	1.17E-11	2.60E-09
211	1.17E-11	3.09E-10
212	1.17E-11	1.95E-10
213	1.17E-11	1.95E-10
214	1.17E-11	1.95E-10
215	1.17E-11	1.91E-10
216	1.17E-11	1.91E-10
217	1.17E-11	1.91E-10
218	1.00E-11	1.91E-10
219	1.17E-11	1.92E-10
220	1.17E-11	1.92E-10
221	1.17E-11	1.92E-10
222	1.17E-11	2.01E-10
223	1.17E-11	2.01E-10
224	1.17E-11	2.01E-10
225	1.17E-11	2.01E-10
226	1.17E-11	2.01E-10
227	1.17E-11	2.32E-11
228	1.17E-11	9.86E-12
229	1.00E-11	5.11E-12
230	1.17E-11	5.11E-12
231	1.17E-11	5.23E-12
232	1.17E-11	5.23E-12
233	1.22E-11	2.56E-12
234	1.22E-11	2.56E-12
235	2.07E-12	8.11E-13
236	2.07E-12	8.11E-13
237	2.07E-12	8.11E-13
238	2.07E-12	8.11E-13
239	2.07E-12	8.11E-13
240	2.07E-12	7.53E-13
241	2.07E-12	8.11E-13
242	2.07E-12	8.34E-13
